Id,SalePrice
1461,121522.7177849227
1462,157938.86271415305
1463,188931.73651963935
1464,198336.92181105245
1465,184262.42978237823
1466,174172.47532280406
1467,176787.08342632203
1468,170913.24228599653
1469,180978.7674252801
1470,125497.76380756892
1471,187563.8046379257
1472,98137.87705317773
1473,94995.24238101134
1474,150424.59676501827
1475,124140.54818129643
1476,388046.0880252472
1477,252581.68620709828
1478,290527.99622147926
1479,308368.8702953183
1480,458610.0334499584
1481,317651.6298034897
1482,197157.0064454575
1483,169053.8784661964
1484,167162.43748619335
1485,172394.0365063017
1486,197260.9210385139
1487,337935.7745835026
1488,234881.84533568987
1489,210707.47259912742
1490,230326.962170133
1491,190313.69335986336
1492,88212.79119938088
1493,174654.29787571073
1494,289511.61751759006
1495,277016.18747660884
1496,239365.0303190096
1497,180871.8571827039
1498,162673.93866922468
1499,158546.35255048928
1500,155619.3044473683
1501,182414.47337830122
1502,148583.25082136109
1503,296904.06635075575
1504,242248.53840456821
1505,229526.0741309033
1506,178405.45081508125
1507,240893.13730208838
1508,196728.6395506196
1509,161653.23414629593
1510,145633.36390083688
1511,143685.0411425329
1512,172933.55790979674
1513,129830.1615751232
1514,156750.1680129861
1515,186104.43221458915
1516,151103.60266703548
1517,162300.87570534824
1518,132941.78828524408
1519,211680.73333441286
1520,130413.63181336006
1521,136587.95952684633
1522,169801.8699830272
1523,108600.24163491931
1524,120466.81713779485
1525,126047.66874898583
1526,108421.60477401559
1527,102573.1946392841
1528,133072.3917744335
1529,148254.15448141034
1530,166095.58327883604
1531,108616.4008885077
1532,98129.72656940288
1533,146862.7950495271
1534,119410.54245700236
1535,155447.064150334
1536,114185.28376238493
1537,67181.96671036033
1538,147772.07128619816
1539,197584.77527670225
1540,93318.01868281473
1541,136643.05366770012
1542,135499.41447534057
1543,198617.5613134295
1544,79787.26224391234
1545,97894.03857157295
1546,126866.95602734461
1547,128582.65530582938
1548,126940.05962588335
1549,113455.00401672204
1550,133528.08442917975
1551,110783.28509782869
1552,140225.40752762396
1553,147176.11592224118
1554,111169.20378592222
1555,164124.91442171737
1556,88366.53722257902
1557,96909.43355628576
1558,92901.49718498898
1559,87956.81324478844
1560,138300.99117042878
1561,127678.67863124979
1562,129271.19730956733
1563,120494.83090528674
1564,156513.36577852027
1565,147435.74472068562
1566,235664.2117583997
1567,70114.82991497431
1568,231969.25397229154
1569,145984.26255069868
1570,134654.96595927374
1571,131944.86054243112
1572,153634.06547778184
1573,257652.30661303634
1574,106792.88400770129
1575,229309.2063897722
1576,235443.86770791392
1577,192360.6094122434
1578,142668.173192788
1579,142457.64628862517
1580,193863.48044585733
1581,150897.83192494712
1582,126882.33932908649
1583,303817.2954246204
1584,216585.4563565999
1585,143004.17528724566
1586,65592.50191489654
1587,95713.92747314923
1588,146467.97657421586
1589,97036.64333003096
1590,134558.32758430153
1591,97026.40113504522
1592,128355.22034604453
1593,133199.6665942847
1594,127789.4940485037
1595,111250.08322764157
1596,223778.94769564486
1597,187334.66159005696
1598,196505.41886678556
1599,166066.61993356983
1600,163040.86461551537
1601,72196.45992954525
1602,106343.92563983638
1603,89088.70505097578
1604,273734.0007626457
1605,238794.03027281532
1606,168655.89601823487
1607,166380.6004558795
1608,206542.0596049121
1609,197542.12203572964
1610,156523.67707410752
1611,144700.41038007956
1612,170150.68212101585
1613,156211.42216911912
1614,123916.33265816804
1615,91951.28561940987
1616,76330.0875821553
1617,92475.73741054427
1618,122098.86390018892
1619,140313.6253059715
1620,168427.69993595462
1621,132116.28045877922
1622,143280.98224554755
1623,258215.50080776916
1624,216181.92958342412
1625,117888.15239769875
1626,160064.30241880412
1627,189364.3257969401
1628,285751.0212614333
1629,181594.72181445998
1630,350970.14154418086
1631,203456.44990481017
1632,238714.731761195
1633,164467.5917989937
